current_status_date,sponsor_role,link,display_number,party,title
1988-10-28,"{'website': '', 'description': ""Representative for Oregon's 1st congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'OR', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1987-01-06', 'id': 6343, 'congress_numbers': [100], 'title_long': 'Representative', 'enddate': '1989-01-03', 'senator_rank': None, 'person': 400987, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 1, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/100/hr5007,H.R. 5007,Democrat,"H.R. 5007 (100th): A bill to designate the United States Courthouse at 620 Southwest Main Street, Portland, Oregon, as the “Gus J. Solomon United States Courthouse”."
1988-11-10,"{'website': '', 'description': ""Representative for Virginia's 8th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'VA', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1987-01-06', 'id': 30223, 'congress_numbers': [100], 'title_long': 'Representative', 'enddate': '1989-01-03', 'senator_rank': None, 'person': 408490, 'party': 'Republican', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 8, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/100/hr4879,H.R. 4879,Republican,H.R. 4879 (100th): Management Interlocks Revision Act of 1988
1988-10-11,"{'website': '', 'description': ""Representative for California's 16th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'CA', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1987-01-06', 'id': 30124, 'congress_numbers': [100], 'title_long': 'Representative', 'enddate': '1989-01-03', 'senator_rank': None, 'person': 408457, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 16, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/100/hr4998,H.R. 4998,Democrat,H.R. 4998 (100th): A bill to amend the Food Stamp Act of 1977 to make technical corrections in the Family Independence Demonstration Project.
1987-10-23,"{'website': '', 'description': ""Representative for New Jersey's 10th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'NJ', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1987-01-06', 'id': 32977, 'congress_numbers': [100], 'title_long': 'Representative', 'enddate': '1989-01-03', 'senator_rank': None, 'person': 409344, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 10, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/100/hr3226,H.R. 3226,Democrat,"H.R. 3226 (100th): A bill to amend the Anti-Drug Abuse Act of 1986 to permit certain participants in the White House Conference for a Drug Free America to be allowed travel expenses, and for other purposes."
1988-10-06,"{'website': '', 'description': ""Representative for Pennsylvania's 18th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'PA', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1987-01-06', 'id': 38974, 'congress_numbers': [100], 'title_long': 'Representative', 'enddate': '1989-01-03', 'senator_rank': None, 'person': 411224, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 18, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/100/hr4419,H.R. 4419,Democrat,H.R. 4419 (100th): A bill to authorize appropriations for activities under the Federal Fire Prevention and Control Act of 1974.
1987-08-20,"{'description': 'Senator from Virginia', 'role_type_label': 'Senator', 'caucus': None, 'leadership_title': None, 'senator_class': 'class1', 'phone': None, 'senator_rank': None, 'extra': None, 'role_type': 'senator', 'title': 'Sen.', 'current': False, 'website': '', 'state': 'VA', 'startdate': '1983-01-03', 'title_long': 'Senator', 'senator_class_label': 'Class 1', 'congress_numbers': [98, 99, 100], 'enddate': '1989-01-03', 'person': 410936, 'party': 'Republican', 'id': 38064, 'district': None}",https://www.govtrack.us/congress/bills/100/sjres175,S.J.Res. 175,Republican,S.J.Res. 175 (100th): A joint resolution to recognize the efforts of the United States Soccer Federation in bringing the World Cup to the United States in 1994.
1987-10-30,"{'description': 'Senator from South Carolina', 'role_type_label': 'Senator', 'caucus': None, 'leadership_title': None, 'senator_class': 'class3', 'phone': None, 'senator_rank': None, 'extra': None, 'role_type': 'senator', 'title': 'Sen.', 'current': False, 'website': '', 'state': 'SC', 'startdate': '1987-01-06', 'title_long': 'Senator', 'senator_class_label': 'Class 3', 'congress_numbers': [100, 101, 102], 'enddate': '1993-01-03', 'person': 300053, 'party': 'Democrat', 'id': 4068, 'district': None}",https://www.govtrack.us/congress/bills/100/s1628,S. 1628,Democrat,S. 1628 (100th): An original bill to extend the Aviation Insurance Program for 5 years.
1988-11-14,"{'website': '', 'description': ""Representative for Massachusetts's 10th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'MA', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1987-01-06', 'id': 36656, 'congress_numbers': [100], 'title_long': 'Representative', 'enddate': '1989-01-03', 'senator_rank': None, 'person': 410496, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 10, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/100/hr4030,H.R. 4030,Democrat,H.R. 4030 (100th): A bill to strengthen certain fish and wildlife laws.
1988-09-28,"{'website': '', 'description': ""Representative for Florida's 1st congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'FL', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1987-01-06', 'id': 21820, 'congress_numbers': [100], 'title_long': 'Representative', 'enddate': '1989-01-03', 'senator_rank': None, 'person': 405855, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 1, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/100/hr2342,H.R. 2342,Democrat,H.R. 2342 (100th): Coast Guard Authorization Act of 1988
1988-09-20,"{'website': '', 'description': ""Representative for Virginia's 3rd congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'VA', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1987-01-06', 'id': 4805, 'congress_numbers': [100], 'title_long': 'Representative', 'enddate': '1989-01-03', 'senator_rank': None, 'person': 400571, 'party': 'Republican', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 3, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/100/hr5143,H.R. 5143,Republican,H.R. 5143 (100th): District of Columbia Revenue Bond Act of 1988
