current_status_date,sponsor_role,link,display_number,party,title
1973-10-19,"{'website': '', 'description': ""Representative for New York's 27th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'NY', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1973-01-03', 'id': 32899, 'congress_numbers': [93], 'title_long': 'Representative', 'enddate': '1975-01-03', 'senator_rank': None, 'person': 409328, 'party': 'Republican', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 27, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/93/hr1716,H.R. 1716,Republican,H.R. 1716 (93rd): For the relief of Jean Albertha Service Gordon.
1974-03-28,"{'website': '', 'description': ""Representative for Oregon's 2nd congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'OR', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1973-01-03', 'id': 38323, 'congress_numbers': [93], 'title_long': 'Representative', 'enddate': '1975-01-03', 'senator_rank': None, 'person': 411028, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 2, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/93/hr13025,H.R. 13025,Democrat,"H.R. 13025 (93rd): An Act to increase the period during which benefits may be paid under title XVI of the Social Security Act on the basis of presumptive disability to certain individuals who received aid, on the basis of disability, for December 1973, u"
1974-08-20,"{'website': '', 'description': ""Representative for California's 38th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'CA', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1973-01-03', 'id': 4816, 'congress_numbers': [93], 'title_long': 'Representative', 'enddate': '1975-01-03', 'senator_rank': None, 'person': 400572, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 38, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/93/hr7682,H.R. 7682,Democrat,H.R. 7682 (93rd): An Act to confer United States citizenship posthumously upon Lance Corporal Federico Silva.
1974-04-12,"{'website': '', 'description': ""Representative for Ohio's 18th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'OH', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1973-01-03', 'id': 20066, 'congress_numbers': [93], 'title_long': 'Representative', 'enddate': '1975-01-03', 'senator_rank': None, 'person': 405275, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 18, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/93/hr12341,H.R. 12341,Democrat,H.R. 12341 (93rd): An Act to authorize sales of a former Foreign Service consulate building in Venice to Wake Forest University.
1974-12-31,"{'website': '', 'description': ""Representative for Ohio's 19th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'OH', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1973-01-03', 'id': 10495, 'congress_numbers': [93], 'title_long': 'Representative', 'enddate': '1975-01-03', 'senator_rank': None, 'person': 402312, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 19, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/93/hr15912,H.R. 15912,Democrat,H.R. 15912 (93rd): Veterans Housing Act
1973-10-18,"{'description': 'Senator from Georgia', 'role_type_label': 'Senator', 'caucus': None, 'leadership_title': None, 'senator_class': 'class3', 'phone': None, 'senator_rank': None, 'extra': None, 'role_type': 'senator', 'title': 'Sen.', 'current': False, 'website': '', 'state': 'GA', 'startdate': '1969-01-03', 'title_long': 'Senator', 'senator_class_label': 'Class 3', 'congress_numbers': [91, 92, 93], 'enddate': '1975-01-03', 'person': 410624, 'party': 'Democrat', 'id': 37098, 'district': None}",https://www.govtrack.us/congress/bills/93/s2419,S. 2419,Democrat,S. 2419 (93rd): A bill to correct typographical and clerical errors in Public Law 93-86.
1973-12-05,"{'website': '', 'description': ""Representative for Massachusetts's 1st congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'MA', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1973-01-03', 'id': 12109, 'congress_numbers': [93], 'title_long': 'Representative', 'enddate': '1975-01-03', 'senator_rank': None, 'person': 402833, 'party': 'Republican', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 1, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/93/hr1463,H.R. 1463,Republican,H.R. 1463 (93rd): For the relief of Emilia Majowicz.
1974-06-08,"{'website': '', 'description': ""Representative for Illinois's 21st congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'IL', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1973-01-03', 'id': 25701, 'congress_numbers': [93], 'title_long': 'Representative', 'enddate': '1975-01-03', 'senator_rank': None, 'person': 407069, 'party': 'Republican', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 21, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/93/hr6979,H.R. 6979,Republican,H.R. 6979 (93rd): A bill for the relief of Monroe A. Lucas.
1974-10-20,"{'website': '', 'description': ""Representative for Alabama's 2nd congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'AL', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1973-01-03', 'id': 14083, 'congress_numbers': [93], 'title_long': 'Representative', 'enddate': '1975-01-03', 'senator_rank': None, 'person': 403446, 'party': 'Republican', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 2, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/93/hr9075,H.R. 9075,Republican,"H.R. 9075 (93rd): An Act to authorize the disposition of certain office equipment and furnishings, and for other purposes."
1974-12-22,"{'website': '', 'description': ""Representative for Texas's 9th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'TX', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1973-01-03', 'id': 8897, 'congress_numbers': [93], 'title_long': 'Representative', 'enddate': '1975-01-03', 'senator_rank': None, 'person': 401837, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 9, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/93/hr15818,H.R. 15818,Democrat,"H.R. 15818 (93rd): A bill to amend title 44, United States Code, to redesignate the National Historical Publications Commission as the National Historical Publications and Records Commission, to increase the membership of such Commission, and to increase"
1973-10-19,"{'description': 'Senator from California', 'role_type_label': 'Senator', 'caucus': None, 'leadership_title': None, 'senator_class': 'class3', 'phone': None, 'senator_rank': None, 'extra': None, 'role_type': 'senator', 'title': 'Sen.', 'current': False, 'website': '', 'state': 'CA', 'startdate': '1969-01-03', 'title_long': 'Senator', 'senator_class_label': 'Class 3', 'congress_numbers': [91, 92, 93], 'enddate': '1975-01-03', 'person': 402990, 'party': 'Democrat', 'id': 12612, 'district': None}",https://www.govtrack.us/congress/bills/93/s278,S. 278,Democrat,S. 278 (93rd): An Act for the relief of Manuela Bonito Martin.
1974-10-11,"{'description': 'Senator from Mississippi', 'role_type_label': 'Senator', 'caucus': None, 'leadership_title': None, 'senator_class': 'class2', 'phone': None, 'senator_rank': None, 'extra': None, 'role_type': 'senator', 'title': 'Sen.', 'current': False, 'website': '', 'state': 'MS', 'startdate': '1973-01-03', 'title_long': 'Senator', 'senator_class_label': 'Class 2', 'congress_numbers': [93, 94, 95], 'enddate': '1979-01-03', 'person': 403714, 'party': 'Democrat', 'id': 15001, 'district': None}",https://www.govtrack.us/congress/bills/93/sjres192,S.J.Res. 192,Democrat,"S.J.Res. 192 (93rd): A joint resolution to grant the status of permanent residence to Ivy May Glockner, formerly Ivy May Richmond nee Pond."
1973-06-22,"{'website': '', 'description': ""Representative for New York's 28th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'NY', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1973-01-03', 'id': 36547, 'congress_numbers': [93], 'title_long': 'Representative', 'enddate': '1975-01-03', 'senator_rank': None, 'person': 410455, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 28, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/93/hr4682,H.R. 4682,Democrat,H.R. 4682 (93rd): A bill to provide for the immediate disposal of certain abaca and sisal cordage fiber now held in the national stockpile.
1974-08-17,"{'website': '', 'description': ""Representative for California's 13th congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'CA', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1973-01-03', 'id': 37326, 'congress_numbers': [93], 'title_long': 'Representative', 'enddate': '1975-01-03', 'senator_rank': None, 'person': 410691, 'party': 'Republican', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 13, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/93/hr4590,H.R. 4590,Republican,H.R. 4590 (93rd): An Act for the relief of Melissa Catambay Gutierrez and Milagros Catambay Gutierrez.
1973-10-26,"{'website': '', 'description': ""Representative for Massachusetts's 2nd congressional district"", 'role_type_label': 'Representative', 'current': False, 'state': 'MA', 'leadership_title': None, 'phone': None, 'caucus': None, 'startdate': '1973-01-03', 'id': 8134, 'congress_numbers': [93], 'title_long': 'Representative', 'enddate': '1975-01-03', 'senator_rank': None, 'person': 401568, 'party': 'Democrat', 'senator_class': None, 'role_type': 'representative', 'extra': None, 'district': 2, 'title': 'Rep.'}",https://www.govtrack.us/congress/bills/93/hr8825,H.R. 8825,Democrat,"H.R. 8825 (93rd): Department of Housing and Urban Development; Space, Science, Veterans, and certain other Independent Agencies Appropriation Act"
